"corp","StayID","room_use","date_occupied"
"A",18,"single_room",2018-07-10
"A",18,"single_room",2018-07-11
"A",18,"single_room",2018-07-12
"A",18,"single_room",2018-07-13
"B",19,"single_room",2015-10-14
"B",19,"single_room",2015-10-15
"C",20,"double_room",2020-04-28
"C",20,"double_room",2020-04-29
"C",20,"double_room",2020-04-30
"E",21,"single_room",2019-04-09
"E",21,"single_room",2019-04-10
"E",21,"single_room",2019-04-11
"E",21,"single_room",2019-04-12
"C",22,"single_room",2015-10-10
"C",22,"single_room",2015-10-11
"C",22,"single_room",2015-10-12
"C",22,"single_room",2015-10-13
"D",23,"double_room",2016-08-15
"D",23,"double_room",2016-08-16
"D",23,"double_room",2016-08-17
"C",24,"double_room",2019-05-02
"C",24,"double_room",2019-05-03
"D",25,"economy_room",2015-11-16
"D",25,"economy_room",2015-11-17
"D",25,"economy_room",2015-11-18
"D",25,"economy_room",2015-11-19
"A",26,"single_room",2020-03-23
"A",26,"single_room",2020-03-24
"A",26,"single_room",2020-03-25
"A",26,"single_room",2020-03-26
"A",26,"single_room",2020-03-27
"A",26,"single_room",2020-03-28
"A",26,"single_room",2020-03-29
"E",27,"single_room",2016-01-17
"E",27,"single_room",2016-01-18
"E",27,"single_room",2016-01-19
"A",28,"economy_room",2016-05-27
"A",28,"economy_room",2016-05-28
"A",28,"economy_room",2016-05-29
"A",28,"economy_room",2016-05-30
"C",29,"double_room",2019-09-30
"C",29,"double_room",2019-10-01
"C",29,"double_room",2019-10-02
"A",30,"single_room",2016-05-18
"A",30,"single_room",2016-05-19
"A",30,"single_room",2016-05-20
"A",30,"single_room",2016-05-21
"D",31,"single_room",2020-11-01
"D",31,"single_room",2020-11-02
"D",31,"single_room",2020-11-03
"B",32,"royalsuite",2016-11-27
"B",32,"royalsuite",2016-11-28
"B",32,"royalsuite",2016-11-29
"D",33,"economy_room",2017-07-28
"D",33,"economy_room",2017-07-29
"D",33,"economy_room",2017-07-30
"B",34,"single_room",2019-07-19
"B",34,"single_room",2019-07-20
"B",34,"single_room",2019-07-21
"B",34,"single_room",2019-07-22
"B",34,"single_room",2019-07-23
"B",34,"single_room",2019-07-24
"D",35,"single_room",2016-11-13
"D",35,"single_room",2016-11-14
"C",36,"double_room",2019-06-24
"C",36,"double_room",2019-06-25
"C",36,"double_room",2019-06-26
"A",37,"single_room",2017-10-20
"A",37,"single_room",2017-10-21
"A",37,"single_room",2017-10-22
"A",37,"single_room",2017-10-23
"A",37,"single_room",2017-10-24
"A",37,"single_room",2017-10-25
"A",37,"single_room",2017-10-26
"A",37,"single_room",2017-10-27
"D",38,"single_room",2017-09-03
"D",38,"single_room",2017-09-04
"C",39,"single_room",2018-01-21
"C",39,"single_room",2018-01-22
"C",39,"single_room",2018-01-23
"C",39,"single_room",2018-01-24
"C",39,"single_room",2018-01-25
"C",39,"single_room",2018-01-26
"C",39,"single_room",2018-01-27
"C",39,"single_room",2018-01-28
"B",40,"economy_room",2018-03-07
"B",40,"economy_room",2018-03-08
"D",41,"economy_room",2019-04-16
"D",41,"economy_room",2019-04-17
"D",41,"economy_room",2019-04-18
"D",41,"economy_room",2019-04-19
"D",41,"economy_room",2019-04-20
"C",42,"economy_room",2015-02-12
"C",42,"economy_room",2015-02-13
"A",43,"single_room",2019-02-28
"A",43,"single_room",2019-03-01
"A",43,"single_room",2019-03-02
"A",43,"single_room",2019-03-03
"A",43,"single_room",2019-03-04
"A",44,"single_room",2020-06-12
"A",44,"single_room",2020-06-13
"A",44,"single_room",2020-06-14
"A",44,"single_room",2020-06-15
"A",44,"single_room",2020-06-16
"D",45,"double_room",2017-12-19
"D",45,"double_room",2017-12-20
"D",45,"double_room",2017-12-21
"D",45,"double_room",2017-12-22
"D",45,"double_room",2017-12-23
"B",46,"economy_room",2016-07-30
"B",46,"economy_room",2016-07-31
"B",46,"economy_room",2016-08-01
"B",46,"economy_room",2016-08-02
"B",46,"economy_room",2016-08-03
"B",46,"economy_room",2016-08-04
"A",47,"single_room",2020-12-19
"A",47,"single_room",2020-12-20
"A",47,"single_room",2020-12-21
"D",48,"royalsuite",2016-05-14
"D",48,"royalsuite",2016-05-15
"D",48,"royalsuite",2016-05-16
"D",48,"royalsuite",2016-05-17
"D",48,"royalsuite",2016-05-18
"D",48,"royalsuite",2016-05-19
"C",49,"single_room",2020-12-23
"C",49,"single_room",2020-12-24
"C",49,"single_room",2020-12-25
"C",49,"single_room",2020-12-26
"C",49,"single_room",2020-12-27
"A",50,"single_room",2018-03-30
"A",50,"single_room",2018-03-31
"A",50,"single_room",2018-04-01
"A",50,"single_room",2018-04-02
"B",51,"double_room",2018-04-15
"B",51,"double_room",2018-04-16
"B",51,"double_room",2018-04-17
"B",51,"double_room",2018-04-18
"B",51,"double_room",2018-04-19
"B",51,"double_room",2018-04-20
"B",51,"double_room",2018-04-21
"B",51,"double_room",2018-04-22
"A",52,"double_room",2017-12-01
"A",52,"double_room",2017-12-02
"A",52,"double_room",2017-12-03
"A",52,"double_room",2017-12-04
"A",52,"double_room",2017-12-05
"A",52,"double_room",2017-12-06
"E",53,"double_room",2019-04-22
"E",53,"double_room",2019-04-23
"E",54,"single_room",2018-08-04
"E",54,"single_room",2018-08-05
"E",54,"single_room",2018-08-06
"E",54,"single_room",2018-08-07
"E",54,"single_room",2018-08-08
"C",55,"double_room",2019-10-01
"C",55,"double_room",2019-10-02
"C",55,"double_room",2019-10-03
"D",56,"single_room",2018-09-29
"D",56,"single_room",2018-09-30
"D",56,"single_room",2018-10-01
"D",56,"single_room",2018-10-02
"D",56,"single_room",2018-10-03
"D",56,"single_room",2018-10-04
"D",56,"single_room",2018-10-05
"B",57,"single_room",2015-12-27
"B",57,"single_room",2015-12-28
"B",57,"single_room",2015-12-29
"B",57,"single_room",2015-12-30
"B",57,"single_room",2015-12-31
"B",57,"single_room",2016-01-01
"B",57,"single_room",2016-01-02
"A",58,"economy_room",2019-01-18
"A",58,"economy_room",2019-01-19
"A",58,"economy_room",2019-01-20
"A",58,"economy_room",2019-01-21
"B",59,"economy_room",2018-05-20
"B",59,"economy_room",2018-05-21
"B",59,"economy_room",2018-05-22
"B",59,"economy_room",2018-05-23
"B",59,"economy_room",2018-05-24
"A",60,"single_room",2019-08-06
"A",60,"single_room",2019-08-07
"C",61,"suite_room",2017-11-24
"C",61,"suite_room",2017-11-25
"A",62,"single_room",2017-08-15
"A",62,"single_room",2017-08-16
"A",62,"single_room",2017-08-17
"A",62,"single_room",2017-08-18
"C",63,"economy_room",2015-05-13
"C",63,"economy_room",2015-05-14
"C",63,"economy_room",2015-05-15
"E",64,"single_room",2017-01-22
"E",64,"single_room",2017-01-23
"E",64,"single_room",2017-01-24
"E",65,"double_room",2018-02-11
"E",65,"double_room",2018-02-12
"E",65,"double_room",2018-02-13
"E",65,"double_room",2018-02-14
"E",65,"double_room",2018-02-15
"E",66,"economy_room",2019-12-26
"E",66,"economy_room",2019-12-27
"E",66,"economy_room",2019-12-28
"E",66,"economy_room",2019-12-29
"E",66,"economy_room",2019-12-30
"E",66,"economy_room",2019-12-31
"D",67,"economy_room",2020-06-16
"D",67,"economy_room",2020-06-17
"D",67,"economy_room",2020-06-18
"D",67,"economy_room",2020-06-19
"D",67,"economy_room",2020-06-20
"D",68,"double_room",2015-05-21
"D",68,"double_room",2015-05-22
"D",68,"double_room",2015-05-23
"D",68,"double_room",2015-05-24
"D",68,"double_room",2015-05-25
"B",69,"economy_room",2019-09-21
"B",69,"economy_room",2019-09-22
"B",69,"economy_room",2019-09-23
"B",70,"double_room",2017-12-12
"B",70,"double_room",2017-12-13
"B",70,"double_room",2017-12-14
"B",70,"double_room",2017-12-15
"B",70,"double_room",2017-12-16
"A",71,"single_room",2017-01-19
"A",71,"single_room",2017-01-20
"A",71,"single_room",2017-01-21
"A",71,"single_room",2017-01-22
"A",71,"single_room",2017-01-23
"A",71,"single_room",2017-01-24
"C",72,"double_room",2017-05-11
"C",72,"double_room",2017-05-12
"C",72,"double_room",2017-05-13
"C",72,"double_room",2017-05-14
"C",72,"double_room",2017-05-15
"E",73,"double_room",2015-03-16
"E",73,"double_room",2015-03-17
"D",74,"single_room",2017-06-11
"D",74,"single_room",2017-06-12
"D",74,"single_room",2017-06-13
"E",75,"double_room",2017-02-03
"E",75,"double_room",2017-02-04
"E",75,"double_room",2017-02-05
"E",75,"double_room",2017-02-06
"E",75,"double_room",2017-02-07
"D",76,"single_room",2017-10-20
"D",76,"single_room",2017-10-21
"D",76,"single_room",2017-10-22
"D",76,"single_room",2017-10-23
"E",77,"royalsuite",2020-03-05
"E",77,"royalsuite",2020-03-06
"C",78,"single_room",2016-03-07
"C",78,"single_room",2016-03-08
"C",78,"single_room",2016-03-09
"C",78,"single_room",2016-03-10
"D",79,"single_room",2015-05-14
"D",79,"single_room",2015-05-15
"D",79,"single_room",2015-05-16
"D",79,"single_room",2015-05-17
"E",80,"single_room",2019-04-03
"E",80,"single_room",2019-04-04
"E",80,"single_room",2019-04-05
"E",80,"single_room",2019-04-06
"D",81,"economy_room",2017-06-09
"D",81,"economy_room",2017-06-10
"D",81,"economy_room",2017-06-11
"D",81,"economy_room",2017-06-12
"C",82,"economy_room",2019-12-05
"C",82,"economy_room",2019-12-06
"C",82,"economy_room",2019-12-07
"C",82,"economy_room",2019-12-08
"E",83,"single_room",2019-03-10
"E",83,"single_room",2019-03-11
"E",83,"single_room",2019-03-12
"E",83,"single_room",2019-03-13
"A",84,"single_room",2017-02-21
"A",84,"single_room",2017-02-22
"A",84,"single_room",2017-02-23
"A",84,"single_room",2017-02-24
"E",85,"economy_room",2018-01-19
"E",85,"economy_room",2018-01-20
"E",85,"economy_room",2018-01-21
"E",86,"economy_room",2018-06-25
"E",86,"economy_room",2018-06-26
"E",86,"economy_room",2018-06-27
"E",86,"economy_room",2018-06-28
"E",86,"economy_room",2018-06-29
"C",87,"double_room",2020-11-12
"C",87,"double_room",2020-11-13
"C",87,"double_room",2020-11-14
"E",88,"suite_room",2019-12-24
"E",88,"suite_room",2019-12-25
"E",88,"suite_room",2019-12-26
"E",88,"suite_room",2019-12-27
"E",88,"suite_room",2019-12-28
"E",88,"suite_room",2019-12-29
"D",89,"single_room",2020-10-03
"D",89,"single_room",2020-10-04
"D",89,"single_room",2020-10-05
"D",89,"single_room",2020-10-06
"D",89,"single_room",2020-10-07
"D",89,"single_room",2020-10-08
"A",90,"single_room",2018-10-15
"A",90,"single_room",2018-10-16
"A",90,"single_room",2018-10-17
"A",90,"single_room",2018-10-18
"B",91,"double_room",2016-11-17
"B",91,"double_room",2016-11-18
"B",91,"double_room",2016-11-19
"B",92,"single_room",2017-06-10
"B",92,"single_room",2017-06-11
"B",92,"single_room",2017-06-12
"B",92,"single_room",2017-06-13
"B",92,"single_room",2017-06-14
"A",93,"single_room",2015-04-19
"A",93,"single_room",2015-04-20
"A",93,"single_room",2015-04-21
"A",93,"single_room",2015-04-22
"E",94,"single_room",2017-07-17
"E",94,"single_room",2017-07-18
"E",94,"single_room",2017-07-19
"E",94,"single_room",2017-07-20
"B",95,"economy_room",2017-06-26
"B",95,"economy_room",2017-06-27
"B",95,"economy_room",2017-06-28
"B",95,"economy_room",2017-06-29
"B",95,"economy_room",2017-06-30
"B",95,"economy_room",2017-07-01
"B",95,"economy_room",2017-07-02
"A",96,"single_room",2017-03-01
"A",96,"single_room",2017-03-02
"A",96,"single_room",2017-03-03
"A",96,"single_room",2017-03-04
"A",96,"single_room",2017-03-05
"A",96,"single_room",2017-03-06
"A",96,"single_room",2017-03-07
"E",97,"double_room",2018-05-17
"E",97,"double_room",2018-05-18
"E",97,"double_room",2018-05-19
"A",98,"suite_room",2018-05-23
"A",98,"suite_room",2018-05-24
"A",98,"suite_room",2018-05-25
"A",98,"suite_room",2018-05-26
"A",98,"suite_room",2018-05-27
"E",99,"economy_room",2019-06-06
"E",99,"economy_room",2019-06-07
"E",99,"economy_room",2019-06-08
"E",99,"economy_room",2019-06-09
"A",100,"economy_room",2015-07-23
"A",100,"economy_room",2015-07-24
"A",100,"economy_room",2015-07-25
"A",100,"economy_room",2015-07-26
"A",100,"economy_room",2015-07-27
"A",101,"double_room",2015-03-01
"A",101,"double_room",2015-03-02
"A",101,"double_room",2015-03-03
"B",102,"economy_room",2015-04-06
"B",102,"economy_room",2015-04-07
"B",102,"economy_room",2015-04-08
"B",102,"economy_room",2015-04-09
"B",102,"economy_room",2015-04-10
"E",103,"single_room",2019-01-23
"E",103,"single_room",2019-01-24
"E",103,"single_room",2019-01-25
"E",104,"suite_room",2018-01-10
"E",104,"suite_room",2018-01-11
"E",104,"suite_room",2018-01-12
"C",105,"single_room",2020-11-01
"C",105,"single_room",2020-11-02
"C",105,"single_room",2020-11-03
"C",105,"single_room",2020-11-04
"B",106,"single_room",2019-07-09
"B",106,"single_room",2019-07-10
"B",106,"single_room",2019-07-11
"B",106,"single_room",2019-07-12
"A",107,"single_room",2018-06-08
"A",107,"single_room",2018-06-09
"B",108,"single_room",2018-10-24
"B",108,"single_room",2018-10-25
"B",108,"single_room",2018-10-26
"D",109,"single_room",2020-09-23
"D",109,"single_room",2020-09-24
"A",110,"single_room",2017-01-12
"A",110,"single_room",2017-01-13
"A",110,"single_room",2017-01-14
"A",110,"single_room",2017-01-15
"D",111,"single_room",2017-03-16
"D",111,"single_room",2017-03-17
"D",111,"single_room",2017-03-18
"D",111,"single_room",2017-03-19
"C",112,"double_room",2017-05-14
"C",112,"double_room",2017-05-15
"C",112,"double_room",2017-05-16
"C",112,"double_room",2017-05-17
"C",112,"double_room",2017-05-18
"D",113,"royalsuite",2019-08-08
"D",113,"royalsuite",2019-08-09
"D",113,"royalsuite",2019-08-10
"B",114,"economy_room",2018-02-24
"B",114,"economy_room",2018-02-25
"B",114,"economy_room",2018-02-26
"B",114,"economy_room",2018-02-27
"B",114,"economy_room",2018-02-28
"D",115,"double_room",2015-11-29
"D",115,"double_room",2015-11-30
"D",115,"double_room",2015-12-01
"D",115,"double_room",2015-12-02
"D",115,"double_room",2015-12-03
"B",116,"single_room",2019-10-21
"B",116,"single_room",2019-10-22
"B",116,"single_room",2019-10-23
"B",116,"single_room",2019-10-24
"B",117,"double_room",2016-06-03
"B",117,"double_room",2016-06-04
"B",117,"double_room",2016-06-05
"D",118,"economy_room",2016-01-24
"D",118,"economy_room",2016-01-25
"D",118,"economy_room",2016-01-26
"A",119,"double_room",2017-01-28
"A",119,"double_room",2017-01-29
"A",119,"double_room",2017-01-30
"B",120,"suite_room",2020-11-04
"B",120,"suite_room",2020-11-05
"B",120,"suite_room",2020-11-06
"C",121,"suite_room",2016-02-22
"C",121,"suite_room",2016-02-23
"C",121,"suite_room",2016-02-24
"C",121,"suite_room",2016-02-25
"D",122,"double_room",2017-12-26
"D",122,"double_room",2017-12-27
"D",122,"double_room",2017-12-28
"D",122,"double_room",2017-12-29
"D",122,"double_room",2017-12-30
"D",122,"double_room",2017-12-31
"D",122,"double_room",2018-01-01
"B",123,"double_room",2016-02-23
"B",123,"double_room",2016-02-24
"B",123,"double_room",2016-02-25
"B",123,"double_room",2016-02-26
"C",124,"single_room",2018-09-23
"C",124,"single_room",2018-09-24
"C",124,"single_room",2018-09-25
"C",125,"single_room",2020-01-31
"C",125,"single_room",2020-02-01
"C",125,"single_room",2020-02-02
"B",126,"single_room",2015-11-16
"B",126,"single_room",2015-11-17
"B",126,"single_room",2015-11-18
"D",127,"suite_room",2016-03-16
"D",127,"suite_room",2016-03-17
"D",127,"suite_room",2016-03-18
"D",127,"suite_room",2016-03-19
"A",128,"double_room",2017-08-23
"A",128,"double_room",2017-08-24
"A",128,"double_room",2017-08-25
"A",128,"double_room",2017-08-26
"B",129,"suite_room",2020-03-18
"B",129,"suite_room",2020-03-19
"B",129,"suite_room",2020-03-20
"C",130,"single_room",2018-12-21
"C",130,"single_room",2018-12-22
"D",131,"economy_room",2020-07-01
"D",131,"economy_room",2020-07-02
"D",131,"economy_room",2020-07-03
"A",132,"single_room",2017-02-12
"A",132,"single_room",2017-02-13
"E",133,"double_room",2016-05-19
"E",133,"double_room",2016-05-20
"E",133,"double_room",2016-05-21
"E",133,"double_room",2016-05-22
"A",134,"single_room",2018-03-04
"A",134,"single_room",2018-03-05
"D",135,"suite_room",2016-07-15
"D",135,"suite_room",2016-07-16
"D",135,"suite_room",2016-07-17
"D",135,"suite_room",2016-07-18
"E",136,"single_room",2017-03-15
"E",136,"single_room",2017-03-16
"E",136,"single_room",2017-03-17
"E",136,"single_room",2017-03-18
"A",137,"single_room",2015-08-27
"A",137,"single_room",2015-08-28
"A",137,"single_room",2015-08-29
"C",138,"economy_room",2020-01-19
"C",138,"economy_room",2020-01-20
"C",138,"economy_room",2020-01-21
"C",138,"economy_room",2020-01-22
"B",139,"economy_room",2020-05-29
"B",139,"economy_room",2020-05-30
"B",139,"economy_room",2020-05-31
"C",140,"economy_room",2020-05-23
"C",140,"economy_room",2020-05-24
"B",141,"single_room",2017-05-09
"B",141,"single_room",2017-05-10
"B",141,"single_room",2017-05-11
"B",141,"single_room",2017-05-12
"A",142,"double_room",2020-02-26
"A",142,"double_room",2020-02-27
"A",142,"double_room",2020-02-28
"D",143,"single_room",2015-07-26
"D",143,"single_room",2015-07-27
"D",143,"single_room",2015-07-28
"A",144,"single_room",2019-01-17
"A",144,"single_room",2019-01-18
"A",144,"single_room",2019-01-19
"E",145,"single_room",2019-02-09
"E",145,"single_room",2019-02-10
"E",145,"single_room",2019-02-11
"E",145,"single_room",2019-02-12
"E",145,"single_room",2019-02-13
"B",146,"single_room",2017-06-28
"B",146,"single_room",2017-06-29
"B",146,"single_room",2017-06-30
"B",146,"single_room",2017-07-01
"C",147,"single_room",2020-06-19
"C",147,"single_room",2020-06-20
"A",148,"single_room",2016-01-30
"A",148,"single_room",2016-01-31
"A",148,"single_room",2016-02-01
"A",148,"single_room",2016-02-02
"A",148,"single_room",2016-02-03
"E",149,"double_room",2020-07-30
"E",149,"double_room",2020-07-31
"E",149,"double_room",2020-08-01
"E",149,"double_room",2020-08-02
"E",149,"double_room",2020-08-03
"E",149,"double_room",2020-08-04
"C",150,"single_room",2018-05-04
"C",150,"single_room",2018-05-05
"C",150,"single_room",2018-05-06
"C",150,"single_room",2018-05-07
"C",150,"single_room",2018-05-08
"C",150,"single_room",2018-05-09
"E",151,"economy_room",2018-12-13
"E",151,"economy_room",2018-12-14
"E",151,"economy_room",2018-12-15
"E",151,"economy_room",2018-12-16
"E",151,"economy_room",2018-12-17
"D",152,"single_room",2015-04-17
"D",152,"single_room",2015-04-18
"C",153,"economy_room",2015-07-14
"C",153,"economy_room",2015-07-15
"C",153,"economy_room",2015-07-16
"C",153,"economy_room",2015-07-17
"C",153,"economy_room",2015-07-18
"C",154,"single_room",2015-06-07
"C",154,"single_room",2015-06-08
"C",154,"single_room",2015-06-09
"C",154,"single_room",2015-06-10
"C",154,"single_room",2015-06-11
"D",155,"suite_room",2015-09-27
"D",155,"suite_room",2015-09-28
"D",155,"suite_room",2015-09-29
"A",156,"single_room",2015-03-04
"A",156,"single_room",2015-03-05
"A",156,"single_room",2015-03-06
"A",156,"single_room",2015-03-07
"A",156,"single_room",2015-03-08
"A",156,"single_room",2015-03-09
"C",157,"double_room",2019-04-28
"C",157,"double_room",2019-04-29
"C",157,"double_room",2019-04-30
"E",158,"economy_room",2015-02-23
"E",158,"economy_room",2015-02-24
"E",158,"economy_room",2015-02-25
"E",158,"economy_room",2015-02-26
"E",158,"economy_room",2015-02-27
"E",158,"economy_room",2015-02-28
"B",159,"single_room",2016-09-27
"B",159,"single_room",2016-09-28
"B",160,"economy_room",2015-03-09
"B",160,"economy_room",2015-03-10
"B",160,"economy_room",2015-03-11
"B",160,"economy_room",2015-03-12
"B",161,"single_room",2020-03-31
"B",161,"single_room",2020-04-01
"B",161,"single_room",2020-04-02
"B",161,"single_room",2020-04-03
"B",161,"single_room",2020-04-04
"B",161,"single_room",2020-04-05
"A",162,"single_room",2019-07-07
"A",162,"single_room",2019-07-08
"A",162,"single_room",2019-07-09
"A",162,"single_room",2019-07-10
"A",162,"single_room",2019-07-11
"A",162,"single_room",2019-07-12
"E",163,"single_room",2016-10-31
"E",163,"single_room",2016-11-01
"E",163,"single_room",2016-11-02
"E",163,"single_room",2016-11-03
"A",164,"single_room",2019-10-11
"A",164,"single_room",2019-10-12
"A",164,"single_room",2019-10-13
"A",164,"single_room",2019-10-14
"A",165,"single_room",2016-03-04
"A",165,"single_room",2016-03-05
"A",165,"single_room",2016-03-06
"A",165,"single_room",2016-03-07
"A",165,"single_room",2016-03-08
"A",165,"single_room",2016-03-09
"A",165,"single_room",2016-03-10
"A",165,"single_room",2016-03-11
"A",166,"single_room",2020-02-11
"A",166,"single_room",2020-02-12
"A",166,"single_room",2020-02-13
"A",166,"single_room",2020-02-14
"A",166,"single_room",2020-02-15
"A",166,"single_room",2020-02-16
"A",166,"single_room",2020-02-17
"D",167,"suite_room",2016-03-21
"D",167,"suite_room",2016-03-22
"D",167,"suite_room",2016-03-23
"D",167,"suite_room",2016-03-24
"D",167,"suite_room",2016-03-25
"D",167,"suite_room",2016-03-26
"D",167,"suite_room",2016-03-27
"D",167,"suite_room",2016-03-28
"E",168,"economy_room",2017-08-21
"E",168,"economy_room",2017-08-22
"E",169,"suite_room",2016-04-17
"E",169,"suite_room",2016-04-18
"E",169,"suite_room",2016-04-19
"E",169,"suite_room",2016-04-20
"E",169,"suite_room",2016-04-21
"E",169,"suite_room",2016-04-22
"E",169,"suite_room",2016-04-23
"E",169,"suite_room",2016-04-24
"B",170,"economy_room",2019-03-10
"B",170,"economy_room",2019-03-11
"A",171,"economy_room",2020-10-13
"A",171,"economy_room",2020-10-14
"A",171,"economy_room",2020-10-15
"A",171,"economy_room",2020-10-16
"A",171,"economy_room",2020-10-17
"B",172,"single_room",2020-06-08
"B",172,"single_room",2020-06-09
"B",172,"single_room",2020-06-10
"B",172,"single_room",2020-06-11
"C",173,"single_room",2017-03-26
"C",173,"single_room",2017-03-27
"C",174,"double_room",2018-06-30
"C",174,"double_room",2018-07-01
"C",174,"double_room",2018-07-02
"C",174,"double_room",2018-07-03
"C",174,"double_room",2018-07-04
"E",175,"single_room",2020-01-01
"E",175,"single_room",2020-01-02
"E",175,"single_room",2020-01-03
"E",175,"single_room",2020-01-04
"E",176,"single_room",2017-01-04
"E",176,"single_room",2017-01-05
"E",176,"single_room",2017-01-06
"E",176,"single_room",2017-01-07
"E",176,"single_room",2017-01-08
"E",176,"single_room",2017-01-09
"C",177,"double_room",2019-10-25
"C",177,"double_room",2019-10-26
"C",177,"double_room",2019-10-27
"D",178,"single_room",2020-08-01
"D",178,"single_room",2020-08-02
"B",179,"single_room",2016-09-01
"B",179,"single_room",2016-09-02
"B",179,"single_room",2016-09-03
"D",180,"single_room",2019-10-22
"D",180,"single_room",2019-10-23
"D",180,"single_room",2019-10-24
"E",181,"double_room",2016-01-30
"E",181,"double_room",2016-01-31
"E",181,"double_room",2016-02-01
"D",182,"single_room",2016-04-22
"D",182,"single_room",2016-04-23
"D",182,"single_room",2016-04-24
"D",182,"single_room",2016-04-25
"E",183,"single_room",2019-12-07
"E",183,"single_room",2019-12-08
"E",183,"single_room",2019-12-09
"E",183,"single_room",2019-12-10
"D",184,"economy_room",2018-10-22
"D",184,"economy_room",2018-10-23
"D",184,"economy_room",2018-10-24
"A",185,"single_room",2020-06-30
"A",185,"single_room",2020-07-01
"D",186,"single_room",2019-03-13
"D",186,"single_room",2019-03-14
"D",186,"single_room",2019-03-15
"D",187,"double_room",2017-08-07
"D",187,"double_room",2017-08-08
"D",187,"double_room",2017-08-09
"D",187,"double_room",2017-08-10
"D",187,"double_room",2017-08-11
"D",188,"single_room",2015-10-25
"D",188,"single_room",2015-10-26
"A",189,"single_room",2019-08-28
"A",189,"single_room",2019-08-29
"A",189,"single_room",2019-08-30
"A",189,"single_room",2019-08-31
"A",189,"single_room",2019-09-01
"E",190,"economy_room",2016-07-05
"E",190,"economy_room",2016-07-06
"E",190,"economy_room",2016-07-07
"B",191,"suite_room",2019-09-27
"B",191,"suite_room",2019-09-28
"B",191,"suite_room",2019-09-29
"B",191,"suite_room",2019-09-30
"C",192,"economy_room",2015-04-12
"C",192,"economy_room",2015-04-13
"C",192,"economy_room",2015-04-14
"B",193,"suite_room",2015-01-13
"B",193,"suite_room",2015-01-14
"B",193,"suite_room",2015-01-15
"B",193,"suite_room",2015-01-16
"B",193,"suite_room",2015-01-17
"B",193,"suite_room",2015-01-18
"E",194,"single_room",2020-08-05
"E",194,"single_room",2020-08-06
"E",194,"single_room",2020-08-07
"E",194,"single_room",2020-08-08
"D",195,"economy_room",2017-02-17
"D",195,"economy_room",2017-02-18
"D",195,"economy_room",2017-02-19
"D",195,"economy_room",2017-02-20
"A",196,"single_room",2018-08-10
"A",196,"single_room",2018-08-11
"A",196,"single_room",2018-08-12
"A",196,"single_room",2018-08-13
"A",196,"single_room",2018-08-14
"A",196,"single_room",2018-08-15
"A",196,"single_room",2018-08-16
"B",197,"single_room",2018-05-19
"B",197,"single_room",2018-05-20
"B",198,"single_room",2018-06-24
"B",198,"single_room",2018-06-25
"A",199,"single_room",2019-05-28
"A",199,"single_room",2019-05-29
"A",199,"single_room",2019-05-30
"A",199,"single_room",2019-05-31
"A",200,"double_room",2015-10-15
